1001 Rabbit Tales,Bugs Bunny; Daffy Duck; Sylvester; Tweetie; Porky Pig; Mel Blanc,,Animation
101 Dalmations,,Walt Disney,Animation
16 Blocks,Bruce Willis; Mos Def; David Morse,Richard Donner,Drama; crooked cops
1776,,,Musical
1984,John Hurt; Richard Burton,George Orwell,Science Fiction
2001: A Space Amnesty,Leslie Nielson,,Comedy
2001:A Space Odyssey,,Stanley Kubrick; Arthur C. Clarke,Science Fiction
2010,,Arthur C. Clarke,Science Fiction
21,Kevin Spacey; Laurence Fishburne; Kate Bosworth,,Drama; Las Vegas Card Counting
21 Grams,Sean Penn,,Drama; Heart Failure
21 Jump Street,Johan Hall; Ice Cube,,Comedy; Police
25th Hour,Ed Norton; Barry Pepper; Philip Seymour Hoffman; Rosario Dawson; Brian Cox,Spike Lee,Drama; Russian Mob/Drugs/Growing up in NY
3:10 to Yuma,Russell Crowe; Christian Bale; Ben Foster,,Western
40 year old virgin,,,Comedy
56 Up,,,Documentary; real life stories following people from 7 to 56
8.5,,Frederico Fellini,Foreign; Movie Director
8MM,Nicholas Cage; Joaquin Phoenix; Dennis Hopper,Joel Schumacher,Mystery; S/M Killers
Abbott & Costello Are Lost in Alaska,Bud Abbott; Lou Costello,,Comedy
Abbott & Costello Go to Mars,Bud Abbott; Lou Costello,,Comedy
Abbott & Costello In Society,Bud Abbott; Lou Costello,,Comedy
Abbott & Costello Meet Invisible Man,Bud Abbott; Lou Costello,,Comedy
Abbott & Costello Meet the Mummy,Bud Abbott; Lou Costello,,Comedy
Abbott and Costello: Las Vegas/Little Old Lady,Bud Abbott; Lou Costello,Lou Costello,Comedy
Abbott and Costello: The Christmas Show,Bud Abbott; Lou Costello,,Variety Show
Abbott and Costello Collection: Disk 5,Bud Abbott; Lou Costello,,
About Last Night,Rob Lowe; Jim Belushi; Demi Moore; Elizabeth Perkins,,Drama; Romance
Above the Law,Steven Seagal,,Drug Dealers
Absolute Power,Clint Eastwood; Gene Hackman,,Mystery; Politics
Abyss,Ed Harris,Steven Spielberg,Science Fiction; Sea
Ace Ventura - Pet Detective,Jim Carey,,Comedy
Ace Ventura - When Nature Calls,Jim Carey,,Comedy
Aces and Eights,Ernhest Borgnine; William Atherton,,Western
Addams Family,,,Comedy
Addicted to Love,Matthew Broderick; Meg Ryan; Jean Stapleton; Kelly Preston,,Romantic Comedy
Adventures of Pluto Nash,Eddie Murphy; Rosario Dawson; Peter Boyle; Randy Quaid; Alec Baldwin,,Science Fiction; Comedy
Africa Screams,Bud Abbott; Lou Costello; Max Baer; Shemp Howard,,Comedy
After Earth,Will Smith; Gavin Smith,Will Smith,Science Fiction
After Hours,Teri Garr; Rosanna Arquette,,Drama; Murder in Soho
After Worlds Collide,,,Science Fiction
Against All Odds,Jeff Bridges; Alex Karras; James Woods; Rachel Ward; Richard Widmark,, Football/Murder/Gambling
Against The Ropes,Meg Ryan,,Drama; Boxing
Air America,Robert Downey Jr.,,Comedy; Airforce
Air Force One,Harrison Ford,,Drama; Airforce & Presidents
Airplane,Peter Graves; Leslie Neilson; Robert Stack; Kareem Abdul Jabbar; Julie Hagerty,,Comedy
Airport 75,,,Comedy
Alamo,John Wayne; Richard Boone; Frankie Avalon; Laurance Harvey; Richard Widmark,John Wayne,Western
Alex Cross,Tyler Perry,,Drama; Cops and Killers
Alice,,,
Alice Doesn't Live Here Anymore,,,Drama; Romance
Alice in Wonderland,Johnny Depp; Anne Hathaway,Tim Burton,Fantasy
Alien,Sigourney Weaver,,Science Fiction
Alien Nation,James Caan,,Science Fiction
Aliens,Sigourney Weaver,,Science Fiction
Aliens of The Deep,,James Cameron,Documentary; Ocean/Deep Space Life
All Hands On Deck,Barbara Eden,,Comedy; Navy
All of Me,Steve Martin; Lily Tomlin,,Comedy
All That Jazz,Richard Scheider,,Musical; Drama
All the King's Men,Sean Penn; Jude Law; James Gandolfini; Anthony Hopkins; Kate Winslett; Kathy Baker,,Political Thriller
All The Presidents Men,Robert Redford; Dustin Hoffman,,Drama; President Nixon
All the Pretty Horses,Matt Damon; Penelope Cruz; Bruce Dern,Billy Bob Thornton,Western
All the Right Moves,Tom Cruise,,Football
Allied,Brad Pitt,Robert Zemeckis,World War II Romantic Spy Drama
Aloha,Bradley Cooper; Rachel MacAdams; Emma Stone; Alec Baldwin; Bill Murray,,Romantic Drama; Military
Along Came a Spider,Morgan Freeman,,Mystery
Along Came Polly,Ben Stillar; Jennifer Aniston; Hank Azaria; Debra Messing,,Romantic Comedy
Alpha Dog,Bruce Willis; Sharon Stone; Justin Timberlake; Anton Yelchin; Emile Hirshch; Amanda Zeyfried; Amber Herd; Olivia Wilde,John Casavettes,True Story; FBI Wanted Jesse James Hollywood
Alphaville,,,Science Fiction
Alvarez Kelly,William Holden; Richard Widmark,,Western
Always,Richard Dreyfuss,Steven Spielberg,Drama; Romance
Amatuer,John Huston,,Drama; CIA
American,George Clooney,,Drama; Hitmen and Weapons Dealers in Eur
American Autobahn,,,Mafia
American Beauty,Kevin Spacey; Annette Bening; Chris Cooper; Jason Robards,,Drama; disfunctional families
American Flyers,,,Drama; Bicycle Racing
American Gangster,Denzel Washington; Russell Crowe; Cuba Gooding Jr.,Ridley Scott,Drama; Black Mafia
American Gigolo,Richard Gere; Lauren Hutton,,Mystery
American Grafitti,Charles Martin Smith; Martin Sheen; Penney Marshall; Cindy Williams; Ron Howard; Harrison Ford,,Drama; 60s
American History X,Edward Norton; Edward Furlong; Stacy Keach; Guy Torry; Avery Brooks; Elliot Gould; Beverly D'Angelo,Tony Kaye,Skinheads murder and Racsism
American Hot Wax,Chubby Checker; Jay Leno; Fran Drescher,,Musical; 50s
American Hustle,Christian Bale; Amy Adams; Jennifer Lawrence; Robert De Niro,,Drama ; FBI con artists and the mob
American Pie,Eugene Levy; Chris Owen; Tara Reid; Shannon Elizabeth,,Romantic Comedy; teenagers and sex
American Sniper,Bradley Cooper,Clint Eastwood,Iraqi War Drama.  Best American military sniper in history
American Strays,Luke Perry; Eric Roberts; Jennifer Tilly; John Savage,,Weird people in the rural west
American Yakuza,Virgo Mortenson; Ryo Ishibashi; Michael Nouri,Frank Cappello,Drama; Japanese Mafia FBI
America's Sweethearts,John Cusack; Catherine Zeta-Jones;Billy Crystal; Julia Roberts; Hank Azzaria; Christopher Walken,,Romantic Comedy
Amistad,Matthew Moccanaughey; Morgan Freeman; David Paymer; Anthony Hopkins; Anna Paquin; Djimon Hansou,Steven Spielburg,Legal Drama; 1839 Slavery/Murder
Amy,Amy Winehouse; Alex Clare; Tony Bennett,,Amy Winehouse Documentary
An Unfinished Life,Robert Redford; Jennifer Lopez; Morgan Freeman,,Drama; Wyoming Ranch
Analyze That,Robert De Niro; Billy Crystal; Lisa Kudrow,,Comedy; Mafia and Shrink
Analyze This,Robert De Niro; Billy Crystal; Lisa Kudrow,,Comedy; Mafia
Anchorman 2,Will Ferell; Steven Korell; Jim Carrey; Vince Vaughn; Will Smith,,Comedy; News team
And Starring Pancho Villa as Himself,Antonio Banderas; Alan Arkin,,Drama; Mexican Revolution
Anderson Tapes,,,Science Fiction
Andromeda Strain,,,Science Fiction; Michael Crichton
Angel,,,Drama; Hookers
Anger Management,Jack Nicholson; Adam Sandler,,Comedy
Animal Crackers,Marx Brothers; Margaret Dumont,,Comedy
Animal House,John Belushi; Randy Quaid,,Comedy
Anna and The King,Jodie Foster,,Drama; Siamese Emperor:kingdom war
Annapolis,James Franco,,Drama; Naval Academy
Annie Hall,Woody Allen; Diane Keaton,,Comedy
Another 48 Hours,Eddie Murphy; Nick Nolte,, Cops
Another Stakeout,Emilio Estevez; Richard Dreyfuss; Rosie O'Donnell,,Police Drama
Any Given Sunday,Al Pacino; Cameron Diaz; LL Cool J; James Woods; Matthew Modine; Jamie Foxx; Ann-Margret; Lauren Holly; Jim Brown; Charleton Heston,Oliver Stone,Football Drama
Apache Drums,John Wayne,,Western
Apocalypto,,Mel Gibson,Drama; Mayan Civilization
Apocolypse Now Redux,Martin Sheen; Marlon Brando; Robert Duvall; Larry Fishburne; Harrison Ford; Dennis Hopper,Francis Ford Coppola,War Drama; Vietnam
Apollo 13,Tom Hanks; Kevin Bacon; Ed Harris,Ron Howard,Science Fiction
Appaloosa,Ed Harris; Vitto Morgensen; Renee Zelweger,Ed Harris,Western
Argo,Ben Affleck; Alan Arkin; John Goodman,Ben Affleck,Drama; true story on rescuing Amer. Hostages in Iran
Aristocats,,,Animation; Disney
Around the World in 80 Days,David Niven,,Musical
